uniq_id,product_name,product_category_tree
a99bd685c5430bdf45a1dd01aabc3200,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpiece >> Religious Idols >> Redbag Religious Idols >> Redbag Eight Armed Goddess Sherawali Maa Showpie...""]"
e98fed4f44ec6c5f185a80f8cdd898bb,"Proence Weight Gainers, Mass Gainers","[""Food & Nutrition >> Health & Nutrition >> Protein Supplements >> Proence Weight Gainers, Mass Gainers (60 No, Unf...""]"
05324708277dbf2f3e8b55a660e91988,Discountgod Men's Checkered Casual Shirt,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Discountgod Casual & Party Wear Shirts""]"
9b9dc9b2609d1ee4f5196221eca22eb7,Silver Streak Men's Printed Casual Denim Shirt,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Silver Streak Casual & Party Wear Shirts""]"
a62b34aa0564cbf03b0132773eab9354,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Cobra Paris Wrist Watches""]"
45df3406c4f1301e479c58716c912841,TEN TEN Women's Black Knee Length Boots Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
7698cd2c78a1fd6105ef617445da52f9,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Aries Gold Wrist Watches""]"
2b480f41409d22cb3ba9f71a0242cf1a,Carlton Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
893aa5ed55f7cff2eccea7758d7a86bd,Maserati Time R8851116001 Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Maserati Time Wrist Watches""]"
e52f90f908db98de5f78645ccf03024c,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls","[""Watches >> Wrist Watches >> Vizion Wrist Watches""]"
f355cc1ccb08bd0d283ed979b7ee7515,"Camerii WM64 Elegance Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Camerii Wrist Watches""]"
f80ba21b9e77fe3a4d0e944f86305f8d,Reckler Slim Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Reckler Jeans""]"
41aa2d73a19f0c3438b3c77134696830,Quechua Arpenaz Novadry Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
c0824c9e7ee6b79006ce698a2a7a413c,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls","[""Watches >> Wrist Watches >> Colat Wrist Watches""]"
15f03b13b010db0a355ae094fddc9e86,Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
0c7a6176e932cc20399a890433186ab5,Rochees RW38 Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Rochees Wrist Watches""]"
0aa9c84298f0b956cb879d87ff728bf8,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Rorlig Wrist Watches""]"
a66b8f58ac663190586f5c1a9745e56f,Catwalk Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
cf59d4e4b6583f4c4bc32c385d7952d1,Magnum Footwear Lifestyle,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
dd0e3470a7e6ed76fd69c2da27721041,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> T STAR Wrist Watches""]"
588d8f7647d36f6e1c162984f2cd9676,Rialto Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
72c4f4745fbaeb32f8c82a6ce013309d,Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
41384da51732c0b4df3de8f395714fbb,"Alfajr WY16B Youth Digital Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Alfajr Wrist Watches""]"
dff9da1046a392d71cca8bfb3e1f647e,La Briza Ashley Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
710ed5f2393a4b9e8823aa0029f71f93,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> TAG Heuer Wrist Watches""]"
d6eb521acd9de24c5c3faded2831620a,Salt N Pepper 13-019 Femme Black Boots Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
029565fee2f177b15e2cb9b7388a6a24,Shuz Touch Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
1ed3a04918640144f3c7b91edc15b493,Wrangler Skanders Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Wrangler Jeans""]"
f5edb6f2171b384ce99a71e52f0a64c9,Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
e18aace92fadededb348d8488931a1e2,Salt N Pepper 14-664 Denny Black Boots Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
16655211772e017f8e207c24b8340214,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Costa Swiss Wrist Watches""]"
7713ac1bbb7b5c03019314a46076a6f2,Crocs Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
329c5f4d7aced63e1ce3e88f41d5e7e6,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Breitling Wrist Watches""]"
130a50a99e78426459f0d909b0bc0f07,Lyc White Casual Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
47b08bfc60cb74872ac29ccb93b64ca7,Myra Comfortable Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
920154acbe49d3202ed7d2ed2df1ea13,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Calibro Wrist Watches""]"
5b085177978f863858eb88c27dfbf01b,Get Glamr Designer Uggy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
3b53afd15e056d3ef13be8bbc90a35c9,Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
3a9689400032bf48b5487b9a878b90e7,Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
f292c544825690b4f64504befa2875e6,Rochees RW50 Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Rochees Wrist Watches""]"
ff1a8e7edc438d81753fb1d1e961072a,Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
5b60beedcf050b87e5b5ffcf3291086e,Salt N Pepper 13-516 Greta Red Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
b8950a817c882307669cc6cdc34fbb93,Fluid DMF-002-GR01 Digital Watch  - For Boys,"[""Watches >> Wrist Watches >> Fluid Wrist Watches""]"
fb2392b67efbdcd335221c79b880f303,Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
cdc184d8b1f13b6b856e44260398cb98,Rialto Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
811ac21c8b5e08260dc0ee4288cbb472,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Rorlig Wrist Watches""]"
a468d980aaecbf4e1018e341772669df,Wrangler Regular Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Wrangler Jeans""]"
e0a3585aa6424706c5b3fafd9d72a84e,Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
fd2fed517efb6e4c9824eb12e436d19b,"Disney DW100230 Digital Watch  - For Boys, Girls","[""Watches >> Wrist Watches >> Disney Wrist Watches""]"
a919c3ae44e0f1d2e1e5cafe7ea057ae,Salt N Pepper 13-167 Marsha Red Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
08452abdadb3db1e686b94a9c52fc7b6,"Cartier W6701005 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Cartier Wrist Watches""]"
eb7148dc532ca3a71f0c88fe1d617b4d,Bruno Manetti Cannelita Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
a8f99924be2c3dc4c6c4d0208f55cc66,Stylistry Maxis Shde6603brwoboot3104 Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
1e8741b5ae27a513546c94b3f3312aee,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Lois Caron Wrist Watches""]"
1cbd0a513268feade315cb09bdfb66e4,"Felix Y 39 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Felix Wrist Watches""]"
85bf557c3728428485761f3df2289fc0,Kielz Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
1152067424d4a5a6f562e62692452da0,Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
c6c1eca6e11a3b8e347feb7c35a29680,Sakay Country Leather Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
da9e88f44d938a63290cec6ab8bb1871,La Briza Black Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]"
a8980adc2e8740e50dc4d305da965409,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys","[""Watches >> Wrist Watches >> Kool Kidz Wrist Watches""]"
